Order,SuperFamily,Family,Genus,Species,FW,SW,FB,SB,LS,GL,BW,WA,AI,LY,AM,IB
Carnivora,Caniformia,Canidae,Canis,Canis lupus,31.1,33.1,130.0,132.3,5.5,63.0,425.0,35,NA,177,913,12
Carnivora,Caniformia,Canidae,Canis,Canis latrans,9.7,10.6,84.5,88.3,6.2,61.5,225.0,98,NA,NA,365,12
Carnivora,Caniformia,Canidae,Canis,Canis adustus,10.6,11.3,53.5,51.8,4.3,63.3,NA,NA,NA,127,,
Carnivora,Caniformia,Canidae,Canis,Canis mesomelas,7.2,7.7,52.0,56.8,3.8,60.0,NA,61,270,NA,392,
Carnivora,Caniformia,Canidae,Lycaon,Lycaon pictus,22.2,22.0,128.0,129.0,8.8,70.5,365.0,77,390,132,t 132,13
Carnivora,Caniformia,Canidae,Cuon,Cuon alpinus,13.8,15.8,95.0,95.0,4.3,62.0,275.0,NA,NA,186,,
Carnivora,Caniformia,Canidae,Alopex,Alopex lagopus,2.9,3.2,37.0,35.5,7.1,53.3,66.0,21,165,108,293,12
Carnivora,Caniformia,Canidae,Vulpes,Vulpes vulpes,3.9,4.1,43.0,43.5,4.8,54.5,105.0,56,225,144,,12
Carnivora,Caniformia,Canidae,Vulpes,Vulpes bengalensis,1.8,2.4,24.5,25.8,3.5,52.0,NA,NA,NA,NA,,
Carnivora,Caniformia,Canidae,Vulpes,Vulpes chama,3.1,3.1,33.0,33.5,4.0,NA,NA,NA,NA,NA,,
Carnivora,Caniformia,Canidae,Fennecus,Fennecus zerda,1.5,1.5,17.5,17.3,2.8,54.3,34.8,66,NA,141,,12
Carnivora,Caniformia,Canidae,Otocyon,Otocyon megalotis,3.9,3.9,24.5,26.8,3.5,62.5,NA,105,NA,NA,,
Carnivora,Caniformia,Canidae,Urocyon,Urocyon cinereoargenteus,3.3,3.7,39.5,40.8,3.8,63.0,107.5,NA,NA,NA,365,12
Carnivora,Caniformia,Canidae,Dusicyon,Dusicyon culpaeus,6.7,7.4,51.0,51.5,5.0,57.5,168.0,NA,NA,NA,365,12
Carnivora,Caniformia,Canidae,Dusicyon,Dusicyon gylnnocercus,4.2,4.4,40.0,40.0,4.0,58.0,NA,NA,NA,NA,,12
Carnivora,Caniformia,Canidae,Cerdocyon,Cerdocyon thous,6.0,6.0,40.5,41.8,3.1,56.0,140.0,90,195,NA,365,8
Carnivora,Caniformia,Canidae,Chrysocyon,Chrysocyon brachyurus,23.0,23.0,116.0,120.0,1.8,63.3,360.0,NA,NA,162,,
Carnivora,Caniformia,Canidae,Speothos,Speothos venalicus,8.0,8.0,41.5,40.5,3.5,65.0,NA,NA,NA,NA,,
Carnivora,Caniformia,Ursidae,Ursus,Ursus arctos,298.5,298.5,339.0,338.3,2.0,63.0,1e3,730,648,304,1338,30
Carnivora,Caniformia,Ursidae,Ursus,Ursus americanus,97.0,110.5,228.0,259.0,2.5,91.0,285.0,168,483,270,1834,27
Carnivora,Caniformia,Ursidae,Thalarctos,Thalarctos maritimus,320.0,365.0,365.0,459.5,1.9,NA,641.6,NA,821,408,1734,24
Carnivora,Caniformia,Ursidae,Selenarctos,Selenarctos thibetanus,77.5,103.8,298.0,312.5,2.0,NA,NA,119,913,396,1186,
Carnivora,Caniformia,Procyonidae,Bassariscus,Bassariscus astutus,0.87,0.95,16.0,16.5,3.0,52.0,28.0,120,NA,96,300,
Carnivora,Caniformia,Procyonidae,Polos,Polos flavus,2.0,2.1,24.0,25.5,1.5,106.5,170.5,NA,NA,228,,
Carnivora,Caniformia,Procyonidae,Nasua,Nasua narica,5.0,5.0,37.0,37.0,4.0,73.5,140.0,NA,NA,NA,,12
Carnivora,Caniformia,Procyonidae,Procyon,Procyon lotor,6.7,6.4,39.0,40.0,3.8,64.7,105.9,119,NA,120,540,12
Carnivora,Caniformia,Ailuridae,Ailuropoda,Ailuropoda melanoleuca,120.0,135.0,205.0,234.3,1.5,NA,104.8,180,180,216,2312,12
Carnivora,Caniformia,Mustelidae,Mustela,Mustela erminea,0.62,0.95,3.0,4.0,4.5,70.0,1.7,NA,NA,NA,336,12
Carnivora,Caniformia,Mustelidae,Mustela,Mustela nivalis,0.06,0.08,2.0,2.0,5.8,42.0,3.0,32,NA,NA,,6
Carnivora,Caniformia,Mustelidae,Mustela,Mustela rixosa,0.05,0.05,1.0,1.0,4.8,37.0,0.01,24,NA,NA,,6
Carnivora,Caniformia,Mustelidae,Mustela,Mustelafrenata,0.23,2.33,4.0,4.0,6.0,23.5,3.1,30,84,NA,252,12
Carnivora,Caniformia,Mustelidae,Mustela,Mustela altaica,0.13,0.19,4.5,4.5,4.0,40.0,NA,56,56,NA,,
Carnivora,Caniformia,Mustelidae,Mustela,Mustela sibirica,0.4,0.57,6.0,6.75,5.0,29.0,NA,56,NA,NA,,
Carnivora,Caniformia,Mustelidae,Mustela,Mustela lutreola,0.44,0.59,8.0,8.5,4.5,38.5,NA,70,NA,NA,365,
Carnivora,Caniformia,Mustelidae,Mustela,Mustela vison,0.61,0.91,7.0,8.5,5.0,29.0,NA,NA,NA,NA,420,12
Carnivora,Caniformia,Mustelidae,Mustela,Mustela putorius,0.8,1.03,7.0,8.3,6.0,41.0,NA,NA,70,NA,,12
Carnivora,Caniformia,Mustelidae,Vormela,Vormela peregusna,0.53,0.6,4.0,4.8,6.0,61.5,NA,NA,NA,NA,,
Carnivora,Caniformia,Mustelidae,Martes,Martes martes,1.2,1.2,18.0,20.0,3.3,30.0,NA,NA,NA,NA,,
Carnivora,Caniformia,Mustelidae,Martes,Martes amerkana,0.77,0.87,14.5,15.8,2.6,26.5,28.0,46,NA,150,365,12
Carnivora,Caniformia,Mustelidae,Martes,Martes pennanti,2.25,3.75,29.0,31.8,2.7,77.0,28.0,46,NA,NA,730,
Carnivora,Caniformia,Mustelidae,Martes,Martes zibellina,1.03,1.18,17.0,18.5,3.0,28.0,32.5,49,NA,NA,600,
Carnivora,Caniformia,Mustelidae,Gulo,Gulo gulo,10.35,11.6,72.5,78.5,2.8,35.0,99.2,70,639,186,630,27
Carnivora,Caniformia,Mustelidae,Tavra,Tavra barbara,4.4,4.4,35.0,35.8,3.5,64.0,NA,NA,NA,144,,
Carnivora,Caniformia,Mustelidae,Grison,Grison vittatus,1.8,2.6,23.5,24.3,2.0,NA,NA,NA,NA,NA,,
Carnivora,Caniformia,Mustelidae,Ictonyx,Ictonyx striatus,0.63,0.77,8.5,9.8,2.3,36.0,15.0,56,NA,NA,,
Carnivora,Caniformia,Mustelidae,Poecilogale,Poecilogale albinucha,0.25,0.3,4.5,4.8,2.0,32.0,4.0,77,NA,NA,,
Carnivora,Caniformia,Mustelidae,Mellivora,Mellivora capensis,7.59,8.08,64.0,72.8,2.5,168.0,NA,NA,NA,288,,6
Carnivora,Caniformia,Mustelidae,Meles,Meles meles,10.9,11.6,45.5,50.5,3.0,42.0,103.5,95,210,180,525,12
Carnivora,Caniformia,Mustelidae,Taxidea,Taxidea taxus,4.1,4.05,48.5,49.0,4.0,42.0,NA,42,NA,156,395,
Carnivora,Caniformia,Mustelidae,Mephistis,Mephitis mephitis,2.0,2.4,10.0,10.3,6.0,63.0,33.0,46,84,120,308,12
Carnivora,Caniformia,Mustelidae,Spilogale,Spilogale putorius,0.43,0.55,5.0,5.0,4.3,30.0,15.9,56,NA,NA,,8
Carnivora,Caniformia,Mustelidae,Lutra,Lutra lutra,7.1,8.9,39.0,42.0,2.5,66.5,285.0,112,238,NA,913,
Carnivora,Caniformia,Mustelidae,Lutra,Lutra cauadensis,7.8,8.2,50.5,52.8,3.0,112.0,NA,93,NA,NA,730,
Carnivora,Caniformia,Mustelidae,Lutra,Lutra maculicollis,3.5,4.04,33.0,40.0,3.0,56.0,NA,NA,NA,NA,730,
Carnivora,Caniformia,Mustelidae,Lutrogale,Lutrogale perspicillata,7.3,8.78,61.0,65.0,1.5,62.0,NA,126,NA,180,,
Carnivora,Caniformia,Mustelidae,Aonyx,Aonyx capensis,18.0,19.0,93.0,95.0,3.0,63.0,NA,NA,NA,NA,,
Carnivora,Caniformia,Mustelidae,Enhydra,Enhvdra lutris,24.4,28.3,119.0,125.5,1.0,120.0,210.0,364,NA,NA,1095,12
Carnivora,Feliformia,Viverridae,Viverra,Viverra zihetha,9.0,9.3,36.5,37.0,2.8,77.0,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Civettictis,Civettictis iietta,12.24,12.02,39.0,37.0,3.0,68.5,NA,140,NA,NA,,9
Carnivora,Feliformia,Viverridae,Viverricula,Viverricula indica,2.49,2.66,17.0,16.8,3.8,NA,NA,NA,NA,102,,
Carnivora,Feliformia,Viverridae,Genetta,Genetta genetta,1.8,1.9,14.0,14.0,3.5,71.8,NA,175,NA,NA,,6
Carnivora,Feliformia,Viverridae,Genetta,Genetta tigrina,2.02,2.06,15.5,15.3,2.5,70.0,NA,56,NA,180,,
Carnivora,Feliformia,Viverridae,Prionodon,Prionodon linsang,0.72,0.67,8.0,8.5,NA,NA,40.0,NA,NA,102,,
Carnivora,Feliformia,Viverridae,Nandinia,Nandinia hinotata,3.2,3.2,17.0,17.3,1.8,64.0,56.0,NA,NA,NA,720,6
Carnivora,Feliformia,Viverridae,Actogalidia,Arctogalidia trivirgata,2.4,2.4,21.0,22.0,2.8,45.0,NA,NA,NA,132,,6
Carnivora,Feliformia,Viverridae,Paradoxurus,Paradoxurus hermaphroditus,2.7,3.0,18.5,18.5,3.3,NA,95.5,NA,NA,168,,6
Carnivora,Feliformia,Viverridae,Paradoxurus,Paradoxurus zeylonensis,2.3,2.8,17.5,17.8,2.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Paguma,Paguma Iarvata,5.0,4.7,29.5,30.8,3.0,NA,NA,NA,NA,180,,
Carnivora,Feliformia,Viverridae,Acrctictis,Arctictis binturong,13.0,13.0,38.0,40.8,3.0,90.3,319.0,56,NA,216,,
Carnivora,Feliformia,Viverridae,Hemigalus,Hemigalus derbyanus,0.86,0.83,16.0,19.0,NA,NA,125.0,70,NA,NA,,
Carnivora,Feliformia,Viverridae,Fossa,Fossa fossa,1.6,1.8,18.0,19.8,1.0,85.0,82.5,52,365,NA,,12
Carnivora,Feliformia,Viverridae,Eupleres,Eupleres goudoti,2.1,2.1,17.0,17.0,1.5,NA,150.0,63,NA,NA,,
Carnivora,Feliformia,Viverridae,Galidea,Galidea elegans,0.81,0.81,10.0,10.8,1.0,83.0,47.5,56,NA,NA,730,12
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes ichneumon,2.9,3.05,23.0,23.3,2.5,63.0,NA,NA,NA,156,,
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes sanguineus,0.44,0.49,9.0,8.75,2.5,NA,NA,NA,NA,NA,365,6
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes auropunctatus,0.53,0.78,7.0,7.25,3.2,46.0,NA,32,NA,120,365,6
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes edwardsi,1.04,1.28,10.0,10.5,3.0,60.5,NA,NA,NA,NA,270, S
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes smithi,1.25,1.7,13.5,13.8,2.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Herpetes,Herpestesfuscus,0.79,1.19,11.0,12.5,3.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes vitticollis,1.7,2.38,26.0,25.8,3.0,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes urva,2.04,2.38,20.0,21.0,3.0,63.0,NA,NA,NA,120,,
Carnivora,Feliformia,Viverridae,Mungos,Mungos mungo,1.23,1.26,10.0,10.5,3.8,59.0,20.0,NA,NA,108,323,
Carnivora,Feliformia,Viverridae,Crossarchus,Crossarchus obscurus,1.31,1.31,9.5,9.8,4.0,70.0,NA,NA,NA,NA,,4
Carnivora,Feliformia,Viverridae,Helogale,Helogale parvula,0.27,0.27,5.0,4.75,3.6,51.0,NA,NA,NA,NA,450,4
Carnivora,Feliformia,Viverridae,Ichneumia,Ichneumia albicauda,3.53,3.89,22.5,24.3,2.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Atilax,Atilax paludinosus,3.3,3.7,27.0,28.5,2.5,NA,NA,NA,NA,NA,,6
Carnivora,Feliformia,Viverridae,Cynictus,Cynictus penicillata,0.6,0.6,10.0,10.5,2.5,54.5,NA,42,NA,NA,,12
Carnivora,Feliformia,Viverridae,Paracynictis,Paracynictis selousi,1.64,1.7,15.5,15.8,1.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Suricata,Suricata suricatta,0.72,0.73,10.0,10.3,4.0,77.0,30.5,56,NA,NA,,
Carnivora,Feliformia,Hyaenidae,Hyaena,Hyaena hyaena,26.6,26.8,98.0,97.8,2.5,87.0,NA,60,NA,282,821,
Carnivora,Feliformia,Hyaenidae,Hyaena,Hyaena brunnea,43.9,43.3,110.0,107.0,2.3,NA,693.0,360,900,150,,
Carnivora,Feliformia,Hyaenidae,Crocuta,Crocuta crocuta,55.3,52.0,153.0,143.5,2.0,110.0,1500.0,390,913,276,913,17
Carnivora,Feliformia,Hyaenidae,Proteles,Proteles cristatus,8.36,8.34,36.5,35.3,2.8,100.0,NA,NA,NA,144,,
Carnivora,Feliformia,Felidae,Felis,Felis silvestris,4.33,4.67,35.5,37.5,3.3,67.0,137.0,84,140,NA,313,6
Carnivora,Feliformia,Felidae,Felis,Felis Iibyca,3.85,4.3,33.5,36.3,2.8,57.0,NA,NA,140,180,280,
Carnivora,Feliformia,Felidae,Felis,Felis chaus,6.65,6.65,37.0,39.3,2.9,65.0,135.5,102,NA,144,330,6
Carnivora,Feliformia,Felidae,Leptailurus,Leptailurus serval,10.4,11.7,57.0,56.8,2.4,71.0,143.5,NA,NA,180,,6
Carnivora,Feliformia,Felidae,Prionailurus,Prionailurus bengalensis,3.3,5.5,28.5,29.3,2.5,67.3,83.0,25,NA,150,750,12
Carnivora,Feliformia,Felidae,Prionailurus,Prionailurus rubiginosa,1.25,1.43,19.0,19.0,2.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Felidae,Prionailurus,Prionailurus viverrinus,6.3,8.8,45.5,46.5,2.5,92.5,92.5,53,NA,NA,,
Carnivora,Feliformia,Felidae,Caracal,Caracal caracal,9.68,11.59,53.5,55.3,3.0,73.5,NA,123,365,204,450,12
Carnivora,Feliformia,Felidae,Puma,Puma concolor,39.6,51.8,119.0,125.5,2.5,90.0,400.0,NA,420,NA,913,19
Carnivora,Feliformia,Felidae,Leopardus,Leopardus pardalis,10.75,11.88,60.0,63.8,2.5,72.5,250.0,49,NA,NA,653,
Carnivora,Feliformia,Felidae,Leopardus,Leopardus geoffroyi,2.2,2.2,35.5,34.0,2.0,69.5,65.0,63,NA,NA,480,12
Carnivora,Feliformia,Felidae,Lynx,Lynx lynx,17.8,19.3,68.5,70.0,2.3,67.8,70.0,113,240,162,690,12
Carnivora,Feliformia,Felidae,Lynx,Lynx rufus,5.2,6.2,58.5,58.3,3.2,63.0,311.5,60,365,156,593,12
Carnivora,Feliformia,Felidae,Panthera,Panthera leo,135.5,155.8,219.0,223.5,2.6,105.5,1650.0,150,1080,216,1620,25
Carnivora,Feliformia,Felidae,Panthera,Panthera tigris,131.0,161.0,247.0,279.3,2.5,104.1,1255.0,165,570,207,1643,32
Carnivora,Feliformia,Felidae,Panthera,Panthera pardus,39.3,52.4,112.0,125.5,2.6,98.0,549.3,139,600,264,1187,24
Carnivora,Feliformia,Felidae,Panthera,Panthera onca,77.6,86.2,149.0,151.5,2.5,104.5,816.6,115,NA,NA,1110,
Carnivora,Feliformia,Felidae,Panthera,Panthera uncia,32.5,32.5,98.0,102.0,2.8,96.8,442.6,NA,NA,NA,730,
Carnivora,Feliformia,Felidae,Acinonyx,Acinonyx jubatus,60.0,58.8,106.0,111.0,3.8,91.0,287.5,109,465,NA,645,18
