"length","year"
0.04,1960
27.67,1960
0.08,1960
0.54,1960
0.21,1960
0.04,1960
6.83,1960
0.12,1960
0.04,1960
3.04,1960
1.71,1960
0.58,1960
0.04,1960
0.13,1960
0.58,1960
0.04,1960
0.08,1960
2.08,1960
3.92,1960
0.5,1960
0.12,1960
4,1960
0.54,1960
0.04,1960
2.87,1960
0.46,1960
0.33,1960
0.25,1960
2.5,1960
0.04,1960
0.21,1960
0.83,1960
0.08,1960
5,1960
0.67,1960
0.04,1960
0.25,1960
11.71,1960
9.33,1960
3.83,1960
4.92,1960
2.79,1960
6.25,1960
0.17,1960
4.96,1960
3.42,1960
0.96,1960
0.04,1960
0.21,1960
3.67,1960
0.04,1960
2,1960
1.37,1960
0.04,1960
1.21,1960
0.17,1960
8.46,1960
0.04,1960
0.04,1960
1.17,1960
1.75,1960
0.17,1960
0.12,1960
3.17,1960
3.96,1960
0.29,1960
0.08,1960
7.21,1960
4,1960
0.08,1960
2.96,1960
10.88,1960
0.25,1960
0.04,1960
0.13,1960
1.13,1960
7.71,1960
0.08,1960
7.83,1960
0.04,1960
0.13,1960
0.04,1961
0.21,1961
5.38,1961
10.04,1961
0.04,1961
0.12,1961
0.63,1961
0.29,1961
0.33,1961
2.87,1961
28.08,1961
2.5,1961
19.54,1961
10.33,1961
0.96,1961
0.08,1961
0.08,1961
0.12,1961
0.17,1961
0.17,1961
0.29,1961
0.08,1961
0.04,1961
0.21,1961
3.42,1961
3.58,1961
0.87,1961
0.83,1961
2.46,1961
0.21,1961
5.46,1961
3.04,1961
13.46,1961
6.5,1961
0.04,1961
0.08,1961
8.29,1961
0.71,1961
0.42,1961
0.04,1961
4.79,1961
0.12,1961
0.08,1961
1.67,1961
0.58,1961
8.21,1961
0.04,1961
0.04,1961
0.42,1961
0.08,1961
0.08,1961
3.29,1961
0.25,1961
1.79,1961
14.96,1961
0.08,1961
0.08,1962
8.08,1962
0.13,1962
1.75,1962
0.04,1962
0.08,1962
0.04,1962
3.79,1962
1,1962
1.71,1962
0.17,1962
1.54,1962
0.08,1962
2.5,1962
0.29,1962
0.17,1962
0.04,1962
0.04,1962
0.08,1962
5.92,1962
0.04,1962
0.21,1962
0.08,1962
0.08,1962
0.25,1962
0.08,1962
0.04,1962
3.71,1962
2.92,1962
0.04,1962
0.29,1962
2.42,1962
0.21,1962
4.37,1962
0.46,1962
8.12,1962
9.71,1962
2.08,1962
1.42,1962
0.12,1962
0.29,1962
1.17,1962
0.29,1962
9.96,1962
0.04,1962
1.79,1962
0.08,1962
1.08,1962
0.12,1962
0.33,1962
0.21,1962
0.04,1962
0.12,1962
3.79,1962
0.71,1962
0.04,1962
1,1962
3.46,1962
0.08,1962
0.12,1962
0.58,1962
0.58,1962
0.75,1962
0.12,1962
5.46,1962
0.25,1962
3.13,1962
0.79,1962
2.83,1962
0.08,1962
3.25,1962
0.46,1962
0.04,1962
4.96,1962
3.04,1962
0.21,1962
0.25,1962
2.33,1962
5.42,1962
0.17,1962
0.04,1962
0.83,1962
0.08,1962
0.08,1962
5.58,1962
21.88,1962
3.37,1962
4.04,1962
0.08,1962
5.88,1962
12.38,1962
2.46,1962
0.04,1963
2.46,1963
1.79,1963
0.38,1963
0.04,1963
7.83,1963
0.17,1963
0.04,1963
0.04,1963
7.83,1963
3.75,1963
7.88,1963
5.33,1963
0.04,1963
0.17,1963
0.17,1963
0.04,1963
0.08,1963
0.04,1963
3.83,1963
0.08,1963
0.08,1963
8.63,1963
0.08,1963
3.96,1963
0.04,1963
0.5,1963
0.12,1963
0.04,1963
2.33,1963
0.42,1963
0.04,1963
2.08,1963
0.29,1963
1.67,1963
0.08,1963
1.62,1963
0.25,1963
1.92,1963
0.04,1963
0.25,1963
5.29,1963
0.42,1963
4.12,1963
1.96,1963
1.62,1963
2.29,1963
8.33,1963
2.79,1963
0.29,1963
0.75,1963
1.5,1963
2.5,1963
0.79,1963
1.83,1963
0.04,1963
5.42,1963
1.5,1963
0.25,1963
10.5,1963
2.13,1963
0.17,1963
0.04,1963
4,1963
3,1963
0.12,1963
0.08,1963
2.21,1963
2.58,1963
0.04,1963
0.08,1963
2.13,1963
4.21,1963
0.92,1963
0.04,1963
0.17,1963
0.08,1963
0.08,1963
0.08,1963
12.29,1963
0.5,1963
3.38,1963
2.92,1963
0.04,1963
1.63,1963
4.5,1963
3.46,1963
4.08,1963
18.92,1963
0.04,1963
15.29,1963
4.79,1963
0.04,1964
0.37,1964
0.17,1964
4.38,1964
0.54,1964
2.25,1964
0.58,1964
0.5,1964
0.29,1964
0.83,1964
1.75,1964
0.17,1964
4.67,1964
2.42,1964
21.33,1964
0.04,1964
0.12,1964
2.88,1964
0.04,1964
0.04,1964
0.04,1964
4.46,1964
0.08,1964
0.13,1964
0.75,1964
0.17,1964
0.17,1964
3.83,1964
0.17,1964
0.29,1964
9.04,1964
3.83,1964
1.92,1964
0.21,1964
17.58,1964
0.04,1964
0.04,1964
4.58,1964
0.04,1964
1.58,1964
8.08,1964
0.08,1964
0.17,1964
0.08,1964
3.96,1964
6.71,1964
0.62,1964
1.08,1964
1.17,1964
0.21,1964
3.12,1964
1.38,1964
0.04,1964
1.54,1964
1.17,1964
0.04,1964
1.12,1964
0.33,1964
5.29,1964
1.04,1964
0.13,1964
5.04,1964
3.08,1964
7.21,1964
5.25,1964
1.17,1964
0.04,1964
0.04,1964
0.13,1964
0.12,1964
0.04,1964
0.25,1964
2.08,1964
0.92,1964
0.21,1964
10.29,1964
9.54,1964
14.67,1964
0.08,1964
0.04,1964
0.5,1965
2.29,1965
0.08,1965
0.25,1965
2.88,1965
0.25,1965
0.04,1965
0.04,1965
8.04,1965
1.79,1965
10.92,1965
3.17,1965
0.37,1965
0.12,1965
0.04,1965
0.21,1965
1.63,1965
0.08,1965
9.08,1965
2.58,1965
0.63,1965
3.04,1965
0.42,1965
0.13,1965
0.12,1965
0.42,1965
0.12,1965
0.08,1965
0.17,1965
0.08,1965
0.08,1965
0.04,1965
0.08,1965
0.04,1965
4.67,1965
0.21,1965
1.54,1965
0.04,1965
0.42,1965
0.37,1965
0.04,1965
0.04,1965
3.75,1965
0.79,1965
11.5,1965
1.04,1965
3.71,1965
0.33,1965
0.25,1965
0.58,1965
0.12,1965
0.17,1965
0.58,1965
0.04,1965
0.42,1965
0.21,1965
0.04,1965
2.54,1965
0.21,1965
1.87,1965
2.79,1965
2.21,1965
2.54,1965
0.75,1965
0.46,1965
0.42,1965
0.21,1965
0.04,1965
2.58,1965
0.75,1965
2.21,1965
1.29,1965
1.67,1965
6.5,1965
6.33,1965
0.17,1965
0.08,1965
7.96,1965
3.5,1965
1.88,1965
7.25,1965
0.29,1965
0.04,1965
0.04,1965
2.38,1965
0.37,1965
0.17,1965
0.04,1965
0.67,1965
0.04,1965
0.71,1965
3.21,1965
0.04,1965
0.04,1965
0.04,1965
4.38,1965
0.29,1965
5.21,1965
1.46,1965
0.17,1965
0.04,1965
0.08,1965
0.12,1965
0.17,1965
4.96,1965
0.13,1965
0.04,1965
1.75,1965
4.71,1965
7.83,1965
5.79,1965
0.04,1965
5.21,1965
0.25,1965
0.04,1965
10.54,1965
0.5,1965
3.17,1966
4.58,1966
1.75,1966
0.08,1966
21.29,1966
0.08,1966
0.04,1966
1.42,1966
0.08,1966
0.12,1966
0.75,1966
0.71,1966
0.12,1966
3.42,1966
0.08,1966
0.42,1966
0.13,1966
0.17,1966
0.58,1966
8,1966
3.54,1966
0.04,1966
1.58,1966
3.87,1966
1.42,1966
0.62,1966
0.04,1966
0.17,1966
5.04,1966
2.25,1966
2.12,1966
1.38,1966
0.46,1966
4.79,1966
0.96,1966
0.04,1966
0.62,1966
0.04,1966
2.88,1966
0.04,1966
0.42,1966
2.75,1966
7.83,1966
1.54,1966
2.46,1966
1.92,1966
0.04,1966
8.79,1966
3.92,1966
0.71,1966
1.21,1966
5.13,1966
0.08,1966
3.08,1966
1.17,1966
5.12,1966
0.04,1966
0.08,1966
8.21,1966
0.04,1966
0.25,1966
2.62,1966
0.29,1966
8.96,1966
0.08,1966
15.08,1966
0.04,1966
3.63,1966
1.5,1966
0.13,1966
0.5,1966
8.58,1966
8.29,1966
0.08,1966
1.75,1967
5.88,1967
0.12,1967
16.38,1967
14.83,1967
0.12,1967
0.08,1967
1.25,1967
0.04,1967
0.04,1967
0.92,1967
14.5,1967
3.67,1967
0.04,1967
6.5,1967
0.08,1967
0.75,1967
0.08,1967
0.25,1967
5.67,1967
1.83,1967
0.08,1967
0.83,1967
1.92,1967
0.17,1967
0.12,1967
3.71,1967
0.04,1967
0.25,1967
0.96,1967
0.25,1967
14.83,1967
0.79,1967
0.08,1967
6.71,1967
1.62,1967
0.21,1967
0.04,1967
1.21,1967
0.37,1967
0.04,1967
1.62,1967
0.67,1967
0.04,1967
1.42,1967
0.04,1967
0.25,1967
0.54,1967
7.87,1967
0.17,1967
24.37,1967
2.42,1967
0.04,1967
0.54,1967
1.21,1967
11.42,1967
6.71,1967
0.25,1967
3.25,1967
0.04,1967
0.04,1967
0.04,1967
1.38,1967
0.04,1967
2.71,1967
1,1967
3.21,1967
0.54,1967
2.58,1967
3.75,1967
0.25,1968
12.54,1968
2.92,1968
0.04,1968
0.58,1968
0.04,1968
6.04,1968
0.12,1968
0.04,1968
0.04,1968
0.21,1968
11.54,1968
0.13,1968
1.58,1968
1,1968
0.04,1968
1.75,1968
2.29,1968
0.04,1968
3.37,1968
0.54,1968
2.54,1968
2.21,1968
4.67,1968
0.17,1968
0.21,1968
2.67,1968
7.08,1968
0.08,1968
2.12,1968
0.08,1968
6.42,1968
3.04,1968
2.13,1968
0.12,1968
1.29,1968
1.42,1968
0.25,1968
4.21,1968
0.58,1968
1.37,1968
6,1968
0.46,1968
0.17,1968
0.17,1968
0.42,1968
0.04,1968
3.21,1968
1.71,1968
3.58,1968
0.04,1968
1,1968
2.12,1968
1.29,1968
0.04,1968
1.5,1968
0.12,1968
0.04,1968
0.12,1968
0.21,1968
0.04,1968
0.04,1968
1.54,1968
0.12,1968
0.13,1968
0.75,1968
0.12,1968
3.5,1968
0.38,1968
0.04,1968
0.08,1968
4.96,1968
1.92,1968
1.92,1968
0.04,1968
0.08,1968
0.25,1968
0.17,1968
0.17,1968
0.71,1968
0.21,1968
0.29,1968
1.5,1968
0.33,1968
8.83,1968
0.08,1968
0.5,1968
0.04,1968
0.08,1968
4.67,1968
0.42,1968
0.04,1968
2.08,1968
0.17,1968
0.04,1968
6.5,1968
0.13,1968
0.17,1968
1,1968
11.25,1968
0.04,1968
0.08,1968
3.04,1968
2,1968
6.29,1968
4.75,1968
0.04,1969
0.04,1969
0.25,1969
4.21,1969
0.54,1969
3.21,1969
0.08,1969
0.12,1969
0.46,1969
0.67,1969
0.04,1969
1.08,1969
0.58,1969
0.12,1969
4.29,1969
5.75,1969
7.87,1969
3.83,1969
0.12,1969
0.04,1969
0.04,1969
0.13,1969
2.12,1969
6.21,1969
0.04,1969
2.13,1969
5.67,1969
7.33,1969
0.04,1969
0.04,1969
0.21,1969
0.21,1969
0.04,1969
0.33,1969
0.04,1969
0.04,1969
1.25,1969
0.29,1969
4.29,1969
0.04,1969
0.46,1969
0.04,1969
2,1969
0.75,1969
0.08,1969
0.29,1969
0.04,1969
1.42,1969
0.83,1969
2.46,1969
0.96,1969
1.25,1969
2.75,1969
1.04,1969
4,1969
2.33,1969
0.04,1969
0.21,1969
0.21,1969
0.08,1969
2.96,1969
0.37,1969
3.96,1969
2.12,1969
0.29,1969
0.29,1969
0.29,1969
4.96,1969
0.71,1969
0.08,1969
0.04,1969
3.54,1969
0.04,1969
9.04,1969
2.79,1969
0.25,1969
1.92,1969
2.04,1969
0.42,1969
1.5,1969
0.04,1969
0.12,1969
1.67,1969
0.04,1969
0.67,1969
2.67,1969
4.79,1969
5.75,1969
0.67,1969
0.12,1969
2.17,1969
0.13,1969
0.17,1969
0.04,1969
0.37,1969
3.17,1969
0.08,1969
0.08,1969
2,1969
0.04,1969
1.88,1969
0.17,1969
0.04,1969
3.33,1969
0.04,1969
7.5,1969
0.67,1969
0.25,1970
0.25,1970
0.04,1970
0.08,1970
11.17,1970
1.04,1970
0.04,1970
5.42,1970
4.67,1970
0.04,1970
2.33,1970
2.37,1970
0.17,1970
0.04,1970
0.21,1970
0.04,1970
4.25,1970
0.46,1970
3.87,1970
0.04,1970
0.04,1970
1.83,1970
1.46,1970
0.08,1970
0.08,1970
0.04,1970
0.04,1970
1,1970
1.29,1970
0.17,1970
1.25,1970
6.54,1970
0.04,1970
0.17,1970
1.79,1970
0.5,1970
0.37,1970
0.04,1970
0.12,1970
4.54,1970
6.21,1970
0.04,1970
1.87,1970
0.17,1970
0.08,1970
1.62,1970
2.96,1970
0.04,1970
2.12,1970
0.12,1970
0.04,1970
2.88,1970
1.21,1970
4.58,1970
0.21,1970
1.29,1970
4.75,1970
4.13,1970
0.62,1970
0.79,1970
1.46,1970
3.21,1970
0.08,1970
0.04,1970
16.96,1970
0.08,1970
0.08,1970
2.04,1970
3.67,1970
7.42,1970
0.17,1970
0.21,1970
0.04,1970
3.04,1970
3.67,1970
1.37,1970
1.21,1970
0.04,1970
0.17,1970
2.08,1970
0.04,1970
0.46,1970
0.04,1970
2.54,1970
5.38,1970
0.04,1970
0.04,1970
0.33,1970
0.04,1970
0.04,1970
3.04,1970
0.5,1970
0.25,1970
0.13,1970
0.04,1970
29.21,1970
0.13,1970
0.08,1970
0.04,1970
0.08,1970
1.12,1970
0.96,1970
0.04,1970
1.04,1970
1.71,1970
0.29,1970
0.08,1970
0.12,1970
0.08,1970
0.21,1970
0.04,1970
0.08,1970
0.04,1971
0.08,1971
0.04,1971
13.13,1971
4.08,1971
16.13,1971
0.13,1971
1.25,1971
0.04,1971
0.12,1971
0.04,1971
11,1971
7.04,1971
0.04,1971
2.96,1971
4.42,1971
2.17,1971
5.04,1971
0.08,1971
0.04,1971
6.21,1971
6.46,1971
0.5,1971
0.5,1971
4.13,1971
0.08,1971
0.04,1971
0.29,1971
0.87,1971
0.08,1971
0.08,1971
0.67,1971
3.37,1971
